*Generic
Reference Type	Author	Year	Title	Secondary Title	Place Published	Pages	Number	Publisher	Volume	Secondary Author	Custom 1
Journal	Keita MF, Prost A, Balique H and Ranque P	1981	Associations in filarial infections in man in the savanna zones of Mali and Upper Volta	Am J Trop Med Hyg		590-592	3		30		BFA0005LF
Journal	Poda JN, Wango SP, Sorgho H, Dianou D	2004	Recent evolution of schistosomiasis in the water project of Sourou in Burkina Faso	Bull Soc Pathol Exot		15-18	1		97		BFA0006
Journal	Schilling C, Nougtara A, Korte R	1992	Diagnostic de la bilharziose urinaire a l'aide de methodes combinees de depistage de masse (Burkina-Faso,1987)	Medecine d'Afrique Noire		251-256	4		39		BFA0008
Journal	Sorgho H, Bahgat M, Poda JN, Song W, Kirsten C, Doenhoff MJ, Zongo I, Ouedraogo JB, Ruppel A	2005	Serodiagnosis of Schistosoma mansoni infections in an endemic area of Burkina Faso: performance of several immunological tests with different parasite antigens	Acta Trop		169-180	2		93		BFA0009
Journal	Traore LK, Ouedraogo LH, Pietra V, Nacoulma I, Nebie B, Pafadnam FdS	1990	Prevalence de l'infection a schistosoma haematobium et relations bilharziose hematurie dans deux villages du Burkina Faso	Medecine d'Afrique Noire		100-107	3		37		BFA0010
Journal	Koukounari A, Toure S, Donnelly CA, Ouedraogo A, Yoda B, Ky C, Kabore M, Bosque-Oliva E, Basanez MG, Fenwick A, Webster JP	2011	Integrated monitoring and evaluation and environmental risk factors for urogenital schistosomiasis and active trachoma in Burkina Faso before preventative chemotherapy using sentinel sites	BMC Infect Dis		191			11		BFA0011
Journal	Zida, A. Briegel, J. Kabre, I. Sawadogo, M. P. Sangare, I. Bamba, S. Yacouba, A. Ouedraogo, A. Yonli, D. Drabo, F. Traore, L. K. Ouedraogo-Traore, R. Guiguemde, R. T. Wacker, J.	2016	Epidemiological & clinical aspects of urogenital schistosomiasus in women, in Burkina Faso, West Africa	Infect Dis Poverty	""	""	81	""	5	""	BFA0014
Journal	Erismann, S. Knoblauch, A. M. Diagbouga, S. Odermatt, P. Gerold, J. Shrestha, A. Tarnagda, G. Savadogo, B. Schindler, C. Utzinger, J. Cisse, G.	2017	Prevalence and risk factors of undernutrition among schoolchildren in the Plateau Central and Centre-Ouest regions of Burkina Faso	Infect Dis Poverty	""	17	1	""	6	""	BFA0015
Journal	Ziauddin Hyder S, Persson Lk, Chowdhury A, Ekstrm EC	2001	Anaemia among non-pregnant women in rural Bangladesh.	Public health nutrition		79-83	1		4		BGD0001
Journal	Barry C, Ahmed A and Khan AQ	1971	Endemic filariasis in Thakurgaon, East Pakistan	Am J Trop Med Hyg		592-597	4		20		BGD0001LF
Journal	Kongsbak K, Wahed MA, Friis H, Thilsted SH	2006	Acute-phase protein levels, diarrhoea, Trichuris trichiura and maternal education are predictors of serum retinol: a cross-sectional study of children in a Dhaka slum, Bangladesh.	The British journal of nutrition		725-734	4		96		BGD0002
Journal	Wolfe MS and Aslamkhan M	1971	Filariasis in East Pakistan	Trans R Soc Trop Med Hyg		63-69	1		65		BGD0002LF
Journal	Northrop-Clewes CA, Rousham EK, Mascie-Taylor CN, Lunn PG	2001	Anthelmintic treatment of rural Bangladeshi children: effect on host physiology, growth, and biochemical status.	The american journal of clinical nutrition		53-60	1		73		BGD0003
Journal	Wolfe MS and Aslamkhan M	1972	Bancroftian filiariasis in two villages in Dinajpur District, East Pakistan. I. Infections in man	Am J Trop Med Hyg		22-29	2		21		BGD0003LF
Country report	Bangladesh MoH	2004	Programme to Eliminate Lymphatic Filariasis. Country Report WHO					Bangladesh Ministry of Health			BGD0004LF
Journal	Minamoto K, Mascie-Taylor CG, Moji K, Karim E, Rahman M	2005	Arsenic-contaminated water and extent of acute childhood malnutrition (wasting) in rural Bangladesh.	Environmental sciences : an international journal of environmental physiology and toxicology		283-292	5		12		BGD0005
Journal	Gilgen DD, Mascie-Taylor CG, Rosetta LL	2001	Intestinal helminth infections, anaemia and labour productivity of female tea pluckers in Bangladesh.	Tropical medicine & international health		449-457	6		6		BGD0006
Journal	Bhargava A, Bouis HE, Hallman K, Hoque BA	2003	Coliforms in the water and hemoglobin concentration are predictors of gastrointestinal morbidity of Bangladeshi children ages 1-10 years.	American journal of human biology		209-219	2		15		BGD0007
Journal	Hall A, Nahar Q	1994	Albendazole and infections with Ascaris lumbricoides and Trichuris trichiura in children in Bangladesh.	Transactions of the Royal Society of Tropical Medicine and Hygiene		110-112	1		88		BGD0008
Journal	Hall A, Anwar K, Tomkins A, Rahman L	1999	The distribution of Ascaris lumbricoides in human hosts: a study of 1765 people in Bangladesh.	Transactions of the Royal Society of Tropical Medicine and Hygiene		503-510	5		93		BGD0009
Journal	Sarkar NR, Anwar KS, Biswas KB, Mannan MA	2002	Effect of deworming on nutritional status of ascaris infested slum children of Dhaka, Bangladesh.	Indian pediatrics		1021-1026	11		39		BGD0010
Journal	Mascie-Taylor CG, Alam M, Montanari RM, Karim R, Ahmed T, Karim E, Akhtar S	1999	A study of the cost effectiveness of selective health interventions for the control of intestinal parasites in rural Bangladesh.	The journal of parasitology		6-11	1		85		BGD0011
Journal	Esteban JG, Flores A, Aguirre C, Strauss W, Angles R, Mas-Coma S	1997	Presence of very high prevalence and intensity of infection with <i>Fasciola hepatica</i> among Aymara children from the northern Bolivian Altiplano	Acta Tropica		1-14	1		66		BOL0001
Journal	Flores A, Esteban JG, Angles R, Mas-Coma S	2001	Soil-transmitted helminth infections at very high altitude in Bolivia	Transactions of the Royal Society of Tropical Medicine and Hygiene		272-277	3		95		BOL0002
Journal	Macchioni, F. Segundo, H. Gabrielli, S. Totino, V. Gonzales, P. R. Salazar, E. Bozo, R. Bartoloni, A. Cancrini, G.	2015	Dramatic decrease in prevalence of soil-transmitted helminths and new insights into intestinal protozoa in children living in the Chaco region, Bolivia	Am J Trop Med Hyg	""	794-96	4	""	92	""	BOL0010
Journal	Tanner, S.	2014	Health and disease: exploring the relation between parasitic infections, child nutrition status, and markets	Am J Phy Anthro	""	221-228	""	""	155	""	BOL0011
Journal	Alves JR, Macedo HW, Ramos Junior AN, Ferreira LF, Goncalves MLC, Araujo A	2003	Intestinal parasite infections in a semiarid area of Northeast Brazil: preliminary findings differ from expected prevalence rates	Cadernos de Saude Publica		667-670	2		19		BRA0001
Journal	Korte RL, Fontes G, Camargo Jde S, Rocha EM, Araujo EA, Oliveira MZ, Santos RV and Camargo LM	2013	Survey of Bancroftian filariasis infection in humans and Culex mosquitoes in the western Brazilian Amazon region: implications for transmission and control	Rev Soc Bras Med Trop			2		46		BRA0002LF
Journal	Barbosa CS, Barbosa FS	1998	Schistosomiasis epidemiological patterns in a community of small farmers in Pernambuco State, Brazil 	Caderno de Sade Pblica		129-137	11		14		BRA0003
Journal	Aguiar-Santos AM, Medeiros Z, Bonfim C, Rocha AC, Brandao E, Miranda T, Oliveira P and Sarinho ES	2013	Epidemiological assessment of neglected diseases in children: lymphatic filariasis and soil-transmitted helminthiasis	J Pediatr (Rio J)							BRA0003LF
Journal	Barbosa CS, Favre TC, Wanderley TN, Callou AC, Pieri OS	2006	Assessment of schistosomiasis, through school surveys, in the Forest Zone of Pernambuco, Brazil	Memrias do Instituto Oswaldo Cruz		55-62			101		BRA0004
Journal	Schlemper BR, Jr., Steindel M, Grisard EC, Carvalho-Pinto CJ, Bernardini OJ, de Castilho CV, Rosa G, Kilian S, Guarneri AA, Rocha A, Medeiros Z and Ferreira Neto JA	2000	Elimination of bancroftian filariasis (Wuchereria bancrofti) in Santa Catarina state, Brazil	Trop Med Int Health		848-854	12		5		BRA0004LF
Journal	Braga C, Dourado MI, Ximenes RA, Alves L, Brayner F, Rocha A and Alexander N	2003	Field evaluation of the whole blood immunochromatographic test for rapid bancroftian filariasis diagnosis in the northeast of Brazil	Rev Inst Med Trop Sao Paulo		125-129	3		45		BRA0005LF
Journal	Bencke A, Artuso GL, Reis RSd, Barbieri NL, Rott MB	2006	Enteroparasites in schoolchildren living in a suburban community of Porto Alegre, RS, Brazil	Revista de Patologia Tropical		31-36	1		35		BRA0006
Journal	Bonfim C, Netto MJ, Pedroza D, Portugal JL and Medeiros Z	2009	A socioenvironmental composite index as a tool for identifying urban areas at risk of lymphatic filariasis	Trop Med Int Health		877-884	8		14		BRA0006LF
Journal	Boia MN, Motta LP, Salazar MSP, Suarez Mutis MP, Coutinho RBA, Coura JR	1999	Estudo das parasitoses intestinais e da infeco chagsica no Municpio de Novo Airo, Estado do Amazonas, Brasil	Caderno de Sade Pblica		497-594	3		15		BRA0007
Journal	Brandao E, Bonfim C, Cabral D, Lima JL, Aguiar-Santos AM, Maciel A and Medeiros Z	2011	Mapping of Wuchereria bancrofti infection in children and adolescents in an endemic area of Brazil	Acta Trop		151-154	01-Feb		120		BRA0007LF
Journal	Bia MN, Carvalho- Costa FA, Sodr FC, Eyer-Silva WA, Lamas CC, Lyra MR, Pinto Jnior VL, Cantalice Filho JP, Oliveira ALL, Carvalho LMA, et al	2006	Mass treatment for intestinal helminthisis control in an Amazonian endemic area in Brazil	Revista do Instituto de Medicina Tropical de So Paulo		189-195			48		BRA0008
Journal	Braga C, Dourado I, Ximenes R, Miranda J and Alexander N	2005	Bancroftian filariasis in an endemic area of Brazil: differences between genders during puberty	Rev Soc Bras Med Trop		224-228	3		38		BRA0008LF
Journal	Bia MN, Carvalho-Costa FA, Sodr FC, Porras-Pedroza BE, Faria EC, Magalhes GAP, Silva IMd, Coura JR	2009	Tuberculose e parasitismo intestinal em populao indgena na Amaznia brasileira	Revista de Sade Pblica		176-178			43		BRA0009
Journal	Medeiros Z, Alves A, Brito JA, Borba L, Santos Z, Costa JP, do Espirito Santo ME and Netto MJ	2006	The present situation regarding lymphatic filariasis in Cabo de Santo Agostinho, Pernambuco, Northeast Brazil	Rev Inst Med Trop Sao Paulo		263-267	5		48		BRA0009LF
Journal	Brito LL, Barreto ML, Silva RdCR, Assis AMO, Reis MG, Parraga I, Blanton RE	2003	Risk factors for iron-deficiency anemia in children and adolescents with intestinal helminthic infections	Revista Panamericana de Salud Publica/Pan American Journal of Public Health		422-431	6		14		BRA0010
Journal	Bonfim C, Lessa F, Oliveira C, Evangelista MJ, do Espirito Santo M, Meireles E, Pereira JC and Medeiros Z	2003	[The occurrence and distribution of lymphatic filariasis in Greater Metropolitan Recife: the case of an endemic area in Jaboatao dos Guararapes, Pernambuco, Brazil]	Cad Saude Publica		1497-1505	5		19		BRA0010LF
Journal	Brooker S, Alexander N, Geiger S, Moyeed RA, Stander J, Fleming F, Hotez PJ, Correa-Oliveira R, Bethony J	2006	Contrasting patterns in the small-scale heterogeneity of human helminth infections in urban and rural environments in Brazil	International Journal for Parasitology		1143-1151	10-11		36		BRA0011
Journal	Braga C, Ximenes RA, Albuquerque M, Souza WV, Miranda J, Brayner F, Alves L, Silva L and Dourado I	2001	[Evaluation of a social and environmental indicator used in the identification of lymphatic filariasis transmission in urban centers]	Cad Saude Publica		1211-1218	5		17		BRA0011LF
Journal	Buschini MLT, Pittner E, Czervinski T, Moraes IdF, Moreira MM, Sanches HF, Monteiro MC	2007	Spatial distribution of enteroparasites among school children from Guarapuava, State of Paran, Brazil	Revista Brasileira de Epidemiologia		568-578			10		BRA0012
Journal	da Rocha EM, Fontes G, Brito AC, Silva TR, Medeiros Z and Antunes CM	2000	[Bancroftian filariasis in urban areas of Alagoas State, Northeast Brazil: study in the general population]	Rev Soc Bras Med Trop		545-551	6		33		BRA0012LF
Journal	Cardoso	1995	Prevalencia e aspectos epidemiologicos da giardiase em creches no municipio de Aracaju, SE, Brasil	Revista da Sociedade Brasileira de Medicina Tropical		25-31			28		BRA0013
Journal	Carla Scolari CT, Anna Beltrame, Alberto Matteelli, Francesco Castelli, Maurizio Gulletta, Milton Ribas, Serenella Morana, Carlo Urbani,	2000	Prevalence and distribution of soil-transmitted helminth (STH) infections in urban and indigenous schoolchildren in Ortigueira, State of Paran&agrave;, Brasil: implications for control	Tropical Medicine & International Health		302-307	4		5		BRA0014
Journal	Freitas H, Vieira JB, Braun R, Medeiros Z, Rocha EM, Aguiar-Santos A, Fraiha H and Rocha A	2008	[Workshop to evaluate the epidemiologic situation of lymphatic filariasis in the Municipality of Belem, Para, Northern Brazil]	Rev Soc Bras Med Trop		212-216	2		41		BRA0014LF
Journal	Carneiro FF, Cifuentes E, Tellez-Rojo MM, Romieu I	2002	The risk of Ascaris lumbricoides infection in children as an environmental health indicator to guide preventive activities in Caparao and Alto Caparao	Brazil Bull World Health Organ 							BRA0015
Journal	Chernela JM, Thatcher VE	1993	The effects of settlement on the prevalence of Ascaris infection in two Amerindian populations of the Brazilian Amazon	Acta Amazonica 							BRA0016
Journal	Coelho LMDPdS, Aidar Sobrinho T, Oliveira SMd, Ikegami MT, Yoshizumi AM, Nakamoto AYK, Brotto SdA, Felberg S, Maiorano MR	1999	Ovos e larvas de helmintos nos sanitrios de pr-escolas municipais de Sorocaba, SP e suas freqncias nas fezes das crianas	Revista da Sociedade Brasileira de Medicina Tropical		647-652			32		BRA0017
Journal	Costa-Macedo LMd, Machado-Silva JR, Rodrigues-Silva R, Oliveira LM, Vianna MSR	1998	Intestinal parasitoses in pre-school children from poor communities in Rio de Janeiro City, Brazil	Cadernos de Saude Publica		851-855	4		14		BRA0018
Journal	Costa-Macedo	1999	Ascaris lumbricoides in infants: a population-based study in Rio de Janeiro, Brazi l	Caderno de Sade Pblica		173-178	1		15		BRA0019
Journal	Coura JR	1994	Aspectos epidemiologicos, sociais e sanitarios de uma Area no rio negro, estado do amazonas, com especial referencia as parasitoses inestinais e infeccao chagasica	Caderno de Sade Pblica							BRA0020
Journal	Cunha Cury	1994	Prevalencia da esquistossomose mansoni e de parasitoses intestinais em escolares da area rural do municipio de Jaboticatubas, MG, 1992-1993	Revista da Sociedade Brasileira de Medicina Tropical		217-220	4		27		BRA0021
Journal	Dorea RD, Salata E, Padovani CR, dos Anjos GL	1996	Control of parasitic infections among school children in the peri-urban area of Botucatu, Sao Paulo, Brazil	Rev Soc Bras Med Trop		425-430	5		29		BRA0022
Journal	Ferrari JO, Ferreira MU, Aranha Camargo LM, Ferreira CS	1992	Intestinal parasites among Karitiana Indians from Rondnia State, Brazil	Revista do Instituto de Medicina Tropical de Sao Paulo		223-225			34		BRA0023
Journal	Ferreira P, Lima MR, Oliveira FB, Pereira MLM, Ramos LBM, Marcal MdG, Costa-Cruz JM	2003	Occurrence of intestinal parasites and commensal organisms among schoolchildren living in a landless farm workers settlement in Campo Florido, Minas Gerais, Brazil	Revista da Sociedade Brasileira de Medicina Tropical		109-111	1		36		BRA0024
Journal	Ferreira CB	1997	Enteroparasitoses em escolares do distrito de Martinesia, Uberlandia, MG: um estudo-piloto	Revista da Sociedade Brasileira de Medicina Tropical		373-377	5		30		BRA0025
Journal	Ferreira CS, Ferreira MU, Nogueira MR	1991	Prevalence and intensity of Ascaris lumbricoides infection in an urban population sample (Sao Paulo, Brazil)	Cadernos de Saude Publica		82-89	1		7		BRA0026
Journal	Ferreira MU, Ferreira CdS, Monteiro CA	2000	Secular trends in intestinal parasitic diseases in children in Sao Paulo city, Brazil (1984-1996). (Saude infantil: tendencias e determinantes na cidade de Sao Paulo.)	Revista de Saude Publica		73-82	6 Suplemento		34		BRA0027
Journal	Ferreira MR, Souza W, Perez EP, Lapa T, Carvalho AB, Furtado A, Coutinho HB, Wakelin D	1998	Intestinal Helminthiasis and Anaemia in Youngsters from Matriz da Luz, District of So Loureno da Mata, State of Pernambuco, Brazil	Memorias do Instituto Oswaldo Cruz		289-293			93		BRA0028
Journal	Fontbonne A, Freese-de-Carvalho E, Acioli MD, S GAd, Cesse EAP	2001	Fatores de risco para poliparasitismo intestinal em uma comunidade indgena de Pernambuco, Brasil	Cadernos de Saude Publica		367-373			17		BRA0029
Journal	Fontes G, Oliveira KKL, Oliveira AKL, Rocha EMMd	2003	Influence of specific treatment of intestinal parasites and schistosomiasis on prevalence in students in Barra de Santo Antonio, AL	Revista da Sociedade Brasileira de Medicina Tropical		625-628	5		36		BRA0030
